gene,importance
NCAM1,0.00022661400384113984
DHRS2,0.0002256750930094094
CYP4A22,0.00022538512829485769
ABCC4,0.00022489979567898974
ALOX15B,0.0002248765644044853
CELSR1,0.0002247403776699558
LYN,0.00022468903048932152
BTG2,0.00022351483301890666
KLF9,0.00022325177946061592
MRPL15,0.00022311171536305217
PTPN14,0.00022306071874123295
FN1,0.00022180669217944593
SLC27A2,0.0002216916393748842
SLC25A13,0.00022084567294051037
FASN,0.00022056585482425791
DUSP6,0.0002202500824185785
FGD4,0.00021942719999680773
MB,0.00021930047420442818
ADH5,0.0002190755915260953
GPI,0.00021773073623013276
EGLN3,0.00021610860147585888
F2R,0.00021595095164925722
TM4SF1,0.00021513055778558997
SH3BGR,0.0002151013207868003
PDE6B,0.00021509042701319862
MAP3K6,0.00021508529202541045
F3,0.00021477841091835966
SLC2A8,0.00021436201224209314
SLC6A9,0.00021324237537099288
BMP2,0.000212859698736863
ISG20L2,0.00021244745568150907
SHROOM1,0.0002114093848548714
CELSR2,0.00021126615344109787
TNFAIP8,0.00021092600862651135
EGLN2,0.00021090990231875558
RIPK2,0.0002106813603013276
SLC5A6,0.00021042297901564837
WNT7A,0.0002103453448639608
TNFSF10,0.00021009510522511826
STAT3,0.0002098125797083736
DTX1,0.0002097485215705554
PKP1,0.00020935433625168253
SH2B2,0.0002081640890668623
KIF22,0.00020794197843628252
FGG,0.00020783398750911467
HIF1A,0.00020680776228920492
PDHA1,0.00020622880276665402
GOT1,0.0002058818398548461
NKD1,0.0002054474387264929
F2RL2,0.0002050634128779664
GCNT2,0.0002044207828163522
ZBTB16,0.00020358173146018231
SNRPG,0.00020354292584303727
FUT8,0.00020346249860037378
PNP,0.00020258535014090593
HAO1,0.0002023316744514335
IRF7,0.0002018692215869369
CALML5,0.00020184088561425788
TDO2,0.00020178732980944802
ETS2,0.00020097466424803673
F10,0.00020051586032074234
DKK1,0.00020028004050423923
ATP2B1,0.0002001201375009494
ADD2,0.0001999747764773972
TOB1,0.0001998260821932905
FGF13,0.00019982426453603506
RALA,0.00019969625916809664
STX7,0.00019937653694549054
CPA2,0.00019927098121125006
NCAPD2,0.00019922442224621896
RHCG,0.00019919494719327716
ZNF707,0.00019910955220041012
HDAC5,0.00019880083593968242
MLLT10,0.00019869343665453212
IRS2,0.00019854332444754153
KLF4,0.0001981521194854035
FKBP14,0.00019736063823116642
ANTXR2,0.0001965920077783037
PABPC4,0.00019658027203570488
PARP2,0.0001964523479463905
PLCL1,0.00019625397128199723
NPY4R,0.0001959532846482863
GAB2,0.00019574611234941277
DAP3,0.00019557636552726282
ARFIP2,0.00019551615691766304
TUBB2B,0.00019541240221854515
CSRP2,0.00019533060956604335
MFN2,0.00019454075656887007
ILF2,0.00019428605922706672
HBB,0.00019321254380285808
AHNAK,0.00019304964434236808
FCN1,0.00019245137171420787
MAL,0.00019198734579081066
PAPSS2,0.00019134473468411544
PDK1,0.00019035720185522404
PTK2,0.00019029014245574593
TCOF1,0.00019002927130152926
PEX13,0.000189874931081181
S100A10,0.00018902362415783641
SYNCRIP,0.0001881038378867918
EFHC1,0.00018801494846412936
ADGRG1,0.00018788278975138525
LAMC2,0.00018777297155871537
WWTR1,0.00018706804496113942
GALNT3,0.00018673907015393648
RBSN,0.000186463195121995
GOSR2,0.00018640921264480553
SLC24A3,0.00018635158662997929
TRIP10,0.00018633872304516641
MAST4,0.00018585225040078767
FRAT1,0.00018465582359077074
TNF,0.0001834955663973669
ARL3,0.0001832346223969894
IFNAR2,0.00018267040858160741
XIST,0.0001821948970624636
MCM2,0.0001807352698593326
MPZL2,0.0001802412928014453
LAMA3,0.00018020633707388896
AKR1D1,0.0001796418215704424
CDKN2A,0.00017927741628912693
TUBA4A,0.00017907930685317287
CDH16,0.00017845014350399067
TGIF2,0.00017840144189322315
DNAJB1,0.00017681436661946226
PKM,0.00017570716446361427
CADM2,0.00017480130322991496
RSAD2,0.00017477205856564326
MMP2,0.00017470016573189917
NFIL3,0.00017414150463987259
MYOF,0.00017406756436571573
PSMD14,0.00017403263036562536
RPS6KA1,0.00017381014137586703
FOSL1,0.00017380532960642318
